# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0030   0.0168   0.1226   Lower   A v -> Y ^    u_account_balance/g13164
0.0030   0.0168   0.0936   Lower   B0 v -> Y ^    g413
0.6818   0.6120   0.3438   Upper   A ^ -> Y v    u_account_balance/g4355
0.7527   0.6120   0.7879   Upper   B ^ -> Y ^    u_account_balance/g13159
0.6818   0.6120   0.0843   Upper   B0 ^ -> Y ^    u_account_balance/g4318
0.6622   0.6120   0.0831   Upper   A0 v -> Y v    u_account_balance/g4318
0.6818   0.6120   0.0783   Upper   B0 ^ -> Y ^    u_account_balance/g4317
0.6622   0.6120   0.0778   Upper   A0 v -> Y v    u_account_balance/g4317
0.6818   0.6120   0.0834   Upper   B0 ^ -> Y ^    u_account_balance/g4315
0.6622   0.6120   0.0823   Upper   A0 v -> Y v    u_account_balance/g4315
0.6818   0.6120   0.0853   Upper   B0 ^ -> Y ^    u_account_balance/g4314
0.6622   0.6120   0.0839   Upper   A0 v -> Y v    u_account_balance/g4314
0.6818   0.6120   0.0897   Upper   B0 ^ -> Y ^    u_account_balance/g4312
0.6622   0.6120   0.0879   Upper   A0 v -> Y v    u_account_balance/g4312
0.6818   0.6120   0.0817   Upper   B0 ^ -> Y ^    u_account_balance/g4311
0.6622   0.6120   0.0808   Upper   A0 v -> Y v    u_account_balance/g4311
0.6901   0.6120   0.0839   Upper   B1 v -> Y v    u_account_balance/g4280
0.6818   0.6120   0.0860   Upper   B0 ^ -> Y ^    u_account_balance/g4280
0.6622   0.6120   0.0846   Upper   A0 v -> Y v    u_account_balance/g4280
0.6622   0.6120   0.2084   Upper   A v -> Y ^    u_account_balance/g4338
0.6622   0.6120   0.1913   Upper   A v -> Y ^    u_account_balance/g4337
0.6622   0.6120   0.2322   Upper   A v -> Y ^    u_account_balance/g4336
0.6622   0.6120   0.1945   Upper   A v -> Y ^    u_account_balance/g4333
0.6622   0.6120   0.2006   Upper   A v -> Y ^    u_account_balance/g4326
0.8378   0.6120   0.2459   Upper   A v -> Y ^    u_account_balance/g4332
0.8378   0.6120   0.2337   Upper   A v -> Y ^    u_account_balance/g4331
0.8378   0.6120   0.2308   Upper   A v -> Y ^    u_account_balance/g4330
0.8378   0.6120   0.2322   Upper   A v -> Y ^    u_account_balance/g4328
0.8378   0.6120   0.2276   Upper   A v -> Y ^    u_account_balance/g4327
0.8378   0.6120   0.2288   Upper   A v -> Y ^    u_account_balance/g4325
0.8378   0.6120   0.2290   Upper   A v -> Y ^    u_account_balance/g4324
0.0030   0.0168   0.0601   Lower   AN v -> Y v    u_account_balance/g13471
0.6901   0.6120   0.0756   Upper   B1 v -> Y v    u_account_balance/g4321
0.6901   0.6120   0.0858   Upper   B1 v -> Y v    u_account_balance/g4309
0.8378   0.6120   0.0942   Upper   A0 v -> Y v    u_account_balance/g4309
0.8378   0.6120   0.0969   Upper   A0 v -> Y v    u_account_balance/g4308
0.8378   0.6120   0.0973   Upper   A0 v -> Y v    u_account_balance/g4307
0.8378   0.6120   0.0873   Upper   A0 v -> Y v    u_account_balance/g4306
0.8378   0.6120   0.0878   Upper   A0 v -> Y v    u_account_balance/g4304
0.8378   0.6120   0.0871   Upper   A0 v -> Y v    u_account_balance/g4302
0.0030   0.0168   0.0638   Lower   AN v -> Y v    u_account_balance/g13470
