# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.6929   0.6120   0.3018   Upper   A0 v -> Y v    u_account_balance/g13178
0.6814   0.6120   0.3463   Upper   B v -> Y ^    u_account_balance/g13469
0.6814   0.6120   0.2218   Upper   B v -> Y ^    u_account_balance/g2
0.0037   0.0168   0.0955   Lower   A v -> Y ^    u_account_balance/g13164
0.0030   0.0168   0.1170   Lower   B0 v -> Y ^    g413
0.6340   0.6120   0.2632   Upper   A ^ -> Y v    u_account_balance/g4355
0.7085   0.6120   0.8975   Upper   B ^ -> Y ^    u_account_balance/g13159
0.7650   0.6120   0.4135   Upper   A v -> Y ^    u_account_balance/g4350
0.6340   0.6120   0.0876   Upper   B0 ^ -> Y ^    u_account_balance/g4318
0.6661   0.6120   0.0841   Upper   A0 v -> Y v    u_account_balance/g4318
0.6355   0.6120   0.0802   Upper   B1 v -> Y v    u_account_balance/g4317
0.6340   0.6120   0.0824   Upper   B0 ^ -> Y ^    u_account_balance/g4317
0.6661   0.6120   0.0797   Upper   A0 v -> Y v    u_account_balance/g4317
0.6577   0.6120   0.0826   Upper   B1 v -> Y v    u_account_balance/g4315
0.6340   0.6120   0.0843   Upper   B0 ^ -> Y ^    u_account_balance/g4315
0.6661   0.6120   0.0811   Upper   A0 v -> Y v    u_account_balance/g4315
0.6475   0.6120   0.0846   Upper   B1 v -> Y v    u_account_balance/g4314
0.6340   0.6120   0.0873   Upper   B0 ^ -> Y ^    u_account_balance/g4314
0.6661   0.6120   0.0838   Upper   A0 v -> Y v    u_account_balance/g4314
0.6340   0.6120   0.0884   Upper   B0 ^ -> Y ^    u_account_balance/g4312
0.6661   0.6120   0.0847   Upper   A0 v -> Y v    u_account_balance/g4312
0.6340   0.6120   0.0902   Upper   B0 ^ -> Y ^    u_account_balance/g4311
0.6661   0.6120   0.0863   Upper   A0 v -> Y v    u_account_balance/g4311
0.6340   0.6120   0.0885   Upper   B0 ^ -> Y ^    u_account_balance/g4280
0.6661   0.6120   0.0848   Upper   A0 v -> Y v    u_account_balance/g4280
0.6661   0.6120   0.1933   Upper   A v -> Y ^    u_account_balance/g4338
0.6661   0.6120   0.1924   Upper   A v -> Y ^    u_account_balance/g4337
0.6661   0.6120   0.1984   Upper   A v -> Y ^    u_account_balance/g4336
0.6661   0.6120   0.2076   Upper   A v -> Y ^    u_account_balance/g4333
0.6661   0.6120   0.1912   Upper   A v -> Y ^    u_account_balance/g4326
0.7413   0.6120   0.2049   Upper   A v -> Y ^    u_account_balance/g4332
0.7413   0.6120   0.2111   Upper   A v -> Y ^    u_account_balance/g4331
0.7413   0.6120   0.2094   Upper   A v -> Y ^    u_account_balance/g4330
0.7413   0.6120   0.2094   Upper   A v -> Y ^    u_account_balance/g4328
0.7413   0.6120   0.2016   Upper   A v -> Y ^    u_account_balance/g4327
0.7413   0.6120   0.2006   Upper   A v -> Y ^    u_account_balance/g4325
0.7413   0.6120   0.2138   Upper   A v -> Y ^    u_account_balance/g4324
0.0034   0.0168   0.0594   Lower   AN v -> Y v    u_account_balance/g13471
0.6577   0.6120   0.0842   Upper   B1 v -> Y v    u_account_balance/g4313
0.6355   0.6120   0.0811   Upper   B1 v -> Y v    u_account_balance/g4316
0.6475   0.6120   0.0828   Upper   B1 v -> Y v    u_account_balance/g4310
0.7413   0.6120   0.0885   Upper   A0 v -> Y v    u_account_balance/g4309
0.7413   0.6120   0.0886   Upper   A0 v -> Y v    u_account_balance/g4308
0.6355   0.6120   0.0845   Upper   B1 v -> Y v    u_account_balance/g4307
0.7413   0.6120   0.0870   Upper   A0 v -> Y v    u_account_balance/g4307
